營業地址,統一編號,總機構統一編號,營業人名稱,資本額,設立日期,組織別名稱,使用統一發票,行業代號,名稱,行業代號1,名稱1,行業代號2,名稱2,行業代號3,名稱3
"新北市新莊區自強里中港路２８８巷３６號３樓",02180751,,"嘉信油漆工程行",2045000,0760504,獨資,Y,434012,油漆粉刷、壁飾（紙）黏貼工程,,,,,,
"新北市新莊區自強里中港路２８８巷３６號４樓",24472850,,"訾翔科技股份有限公司",5000000,0981022,股份有限公司,Y,452000,綜合商品批發,,,,,,
"新北市新莊區自強里中港路２８８巷３８號",41387689,,"銾潔企業社",168000,1040708,獨資,Y,464211,電子器材、電子設備批發,,,,,,
"新北市新莊區自強里中港路２８８巷３９號４樓",42725574,,"丞吉數位媒體有限公司",500000,1070525,有限公司,Y,639099,未分類其他資訊服務,,,,,,
"新北市新莊區自強里中港路２８８巷４３號１樓",28147238,,"津美國際實業有限公司",4500000,0950428,有限公司,Y,455999,未分類其他服飾品批發,,,,,,
"新北市新莊區自強里中港路２８８巷４３號３樓",47090930,,"偕安企業有限公司",1000000,1050721,有限公司,Y,458299,其他運動用品及器材批發,476299,其他運動用品及器材零售,,,,
"新北市新莊區自強里中港路２８８巷７２號４樓",10023565,,"青庭花藝設計工作坊",5000,0960903,獨資,Y,740999,未分類其他專門設計服務,485111,切花、盆栽零售,,,,
"新北市新莊區自強里中華路二段５２號１樓",41068340,,"申煌工程行",200000,1030807,獨資,Y,252299,其他金屬建築組件製造,,,,,,
"新北市新莊區自強里中華路二段６２號（側面）",87557779,,"阿美美甲店",60000,1100121,獨資,N,962211,美甲美睫,,,,,,
"新北市新莊區自強里中華路二段６２號１樓",87556384,,"羿心沙龍",100000,1100119,獨資,N,962111,美髮院及髮廊,,,,,,
"新北市新莊區自強里中華路２段１００號２樓",85167108,,"翊生企業社",200000,1080923,獨資,Y,473211,服裝零售,,,,,,
"新北市新莊區自強里中華路２段１０２號１樓",72768136,,"陳福田",50000,1060731,獨資,N,951199,其他汽車維修,,,,,,
"新北市新莊區自強里中華路２段５０號１樓",25002125,,"旭軒室內裝修設計工程有限公司",1000000,0980728,有限公司,Y,434011,室內裝潢工程,474999,未分類其他家用器具及用品零售,474211,國產家用家具零售,,
"新北市新莊區自強里中華路２段８２號４樓",41474847,,"美袋子工作房",50000,1040420,獨資,N,123099,其他服飾品製造,,,,,,
"新北市新莊區自強里中華路２段８４號",53182839,,"餘白室內裝修設計有限公司",1000000,0990928,有限公司,Y,434011,室內裝潢工程,740100,室內設計,,,,
"新北市新莊區自強里中華路２段８６號２樓",50852898,,"禾瑿生技顧問有限公司",3000000,1070927,有限公司,N,457299,其他化粧品批發,475299,其他化粧品零售,,,,
"新北市新莊區自強里中華路２段９２號１樓",37876427,,"龍鼎實業社",200000,1020325,獨資,Y,461515,建材五金（螺絲、螺帽、鉚釘等金屬製品）批發,465311,汽車零件、汽車百貨批發,484314,機車零件、機車百貨零售,464211,電子器材、電子設備批發
"新北市新莊區自強里中華路２段９６號１樓",29106066,,"柏盛鋼模有限公司",1500000,0970612,有限公司,Y,251299,其他金屬模具製造,,,,,,
"新北市新莊區自強里自信街１０―３號４樓",78311389,,"新翔工程行",49000,0820531,獨資,Y,434011,室內裝潢工程,,,,,,
"新北市新莊區自強里自信街１０之３號（４樓）",54880925,,"晁義工程有限公司",1000000,1041117,有限公司,Y,434011,室內裝潢工程,,,,,,
"新北市新莊區自強里自信街１０之３號（４樓）",83593134,,"鴻屋管理顧問有限公司",1000000,1090702,有限公司,Y,689900,其他未分類不動產服務,,,,,,
"新北市新莊區自強里自信街１４－３號４樓",91269791,,"普琳工作室",200000,1100601,獨資,Y,760999,其他未分類專業、科學及技術服務,,,,,,
"新北市新莊區自強里自信街１６號",85368061,,"高月代",30000,1090116,獨資,N,962111,美髮院及髮廊,,,,,,
"新北市新莊區自強里自信街１６號１樓",50565919,,"周旻琪",100000,1050502,獨資,N,561111,早餐店,,,,,,
"新北市新莊區自強里自信街２之１號（２樓）",37887085,,"立宇工程行",200000,1020517,獨資,Y,461599,其他金屬建材批發,434011,室內裝潢工程,,,,
"新北市新莊區自強里自信街２號１樓",28423402,23060248,"全家便利商店股份有限公司新莊自成分公司",0,0961031,本國公司設立之分公司,Y,471112,直營連鎖式便利商店,,,,,,
"新北市新莊區自強里自信街２０號１樓",09948603,,"心幻髮型",20000,0950927,獨資,N,962112,理髮店,,,,,,
"新北市新莊區自強里自信街２４號３樓",29146975,,"龍信國際貿易有限公司",50000,0990406,有限公司,Y,465311,汽車零件、汽車百貨批發,,,,,,
"新北市新莊區自強里自信街２８號１樓",26741583,,"宸星童裝百貨行",200000,1001020,獨資,N,473211,服裝零售,,,,,,
"新北市新莊區自強里自信街２８號１樓",31709710,,"翔澔百貨行",200000,1011019,獨資,N,487113,經營網路購物,,,,,,
"新北市新莊區自強里自信街３２號",09945731,,"阿忠小籠包",20000,0950927,獨資,N,561113,麵店、小吃店,,,,,,
"新北市新莊區自強里自信街３４號（１樓）",91219152,,"白玉豆花店",200000,1100906,獨資,N,563111,冰果店、冷（熱）飲店,,,,,,
"新北市新莊區自強里自信街３４號４樓",85447679,,"巨賀實業社",200000,1090811,獨資,Y,433211,冷凍、通風、空調系統裝修工程,456114,家用空調器及其零件批發,,,,
"新北市新莊區自強里自信街３６之２號３樓",36151699,,"名毅成衣有限公司",6000000,0720601,有限公司,Y,121011,梭織制服製造,,,,,,
"新北市新莊區自強里自信街４之１號（２樓）",02105825,,"無諍之美美容坊",100000,1021015,獨資,N,475299,其他化粧品零售,962299,其他美容美體服務,,,,
"新北市新莊區自強里自信街４之３號（４樓）",54852189,,"易承開發有限公司",12000000,1040701,有限公司,Y,433900,其他建築設備安裝,,,,,,
"新北市新莊區自強里自信街６號１樓",08679587,,"歐品花坊",50000,0940714,獨資,N,485111,切花、盆栽零售,473999,未分類其他服飾品零售,,,,
"新北市新莊區自強里自信街６號１樓",21595267,,"熊宝宝童裝店",50000,0940613,獨資,N,473211,服裝零售,,,,,,
"新北市新莊區自強里自信街８號１樓",72800190,,"大熊服飾店",100000,1061101,獨資,N,473299,其他服裝及其配件零售,,,,,,
"新北市新莊區自強里自強街１３號１樓",13788868,,"江同安中藥行",50000,0900813,獨資,N,475111,中藥零售,,,,,,
"新北市新莊區自強里自強街１３號２樓",83379866,,"品生活創意有限公司",300000,1100122,有限公司,N,456999,未分類其他家用器具及用品批發,,,,,,
"新北市新莊區自強里自強街１５號１樓",31707847,,"新源百貨行",15000,1011009,獨資,N,473111,絲織、麻織、棉織、毛織品零售,,,,,,
"新北市新莊區自強里自強街２９之１號２樓",80440212,,"嘉格設計開發有限公司",1000000,0920730,有限公司,Y,740100,室內設計,434011,室內裝潢工程,,,,
"新北市新莊區自強里自強街３號１樓",09945943,,"九豪服飾店",200000,0950929,獨資,N,473211,服裝零售,,,,,,
"新北市新莊區自強里自強街３號３樓",90691167,,"福崎國際貿易有限公司",500000,1100401,有限公司,Y,454999,未分類其他食品批發,,,,,,
"新北市新莊區自強里自強街３１－１號２樓",66953555,,"小余企業社",450000,0941229,獨資,Y,461517,金屬手工具批發,,,,,,
"新北市新莊區自強里自強街３７巷１２之２號（３樓）",83493901,,"艾麗互動多媒體有限公司",1000000,1081230,有限公司,Y,902016,流行音樂表演,771913,舞台燈光、音響設備出租,,,,
"新北市新莊區自強里自強街３７巷１２之２號３樓",54697173,,"寶錞有限公司",1000000,1030211,有限公司,Y,461516,建材五金（基本金屬）批發,456211,國產家用家具批發,,,,
"新北市新莊區自強里自強街３７巷１４弄２之２號",85165214,,"順揚工程行",200000,1080912,獨資,Y,434011,室內裝潢工程,,,,,,
"新北市新莊區自強里自強街３７巷１４弄５―３號４樓",28355312,,"劦立資訊有限公司",500000,0950718,有限公司,Y,483111,電腦及電腦週邊設備零售,,,,,,
"新北市新莊區自強里自強街３７巷１４弄７―２號３樓",28940546,,"鼎綸鑽石有限公司",1000000,0970317,有限公司,Y,461517,金屬手工具批發,,,,,,
"新北市新莊區自強里自強街３７巷５之１號（２樓）",85430179,,"將丞工程行",200000,1090616,獨資,Y,434011,室內裝潢工程,,,,,,
"新北市新莊區自強里自強街３７巷９號１樓",21501064,,"雅蘿精品服飾行",120000,0940303,獨資,N,473211,服裝零售,,,,,,
"新北市新莊區自強里自強街４７之３７號１樓",26764425,,"敬詠科技工程行",200000,1010314,獨資,Y,433117,電纜裝修工程,,,,,,
"新北市新莊區自強里自強街４９號１樓",09943298,,"紅葡萄茶亭",160000,0950922,獨資,N,472914,飲料零售,,,,,,
"新北市新莊區自強里自強街５號１樓",42246012,,"喜童小舖",200000,1050504,獨資,N,473211,服裝零售,,,,,,
"新北市新莊區自強里自強街５１號",09945394,,"大祥肉類食品",30000,0950925,獨資,N,472919,肉鬆、肉乾、火腿、臘味零售,,,,,,
"新北市新莊區自強里自強街５３之１號（２樓）",42240018,,"泓富工程行",200000,1050407,獨資,N,434099,其他建物完工裝修工程,,,,,,
"新北市新莊區自強里自強街５９巷１２―３號４樓",80999928,,"達陞商行",200000,0920506,合夥,Y,487212,多層次傳銷（商品銷貨收入）,474999,未分類其他家用器具及用品零售,620111,遊戲程式設計,474917,清潔用品零售
"新北市新莊區自強里自強街５９巷６號２樓",90766743,,"勍廣企業有限公司",2000000,1100319,有限公司,Y,089999,其他未分類食品製造,,,,,,
