營業地址,統一編號,總機構統一編號,營業人名稱,資本額,設立日期,組織別名稱,使用統一發票,行業代號,名稱,行業代號1,名稱1,行業代號2,名稱2,行業代號3,名稱3
"新北市新莊區福興里五權一路７號６樓之８",90799462,,"時浥股份有限公司",1000000,1100421,股份有限公司,Y,731011,廣告代理商,,,,,,
"新北市新莊區福興里五權一路７號６樓之９",24452708,,"格銳菲有限公司",10000000,0980806,有限公司,Y,461515,建材五金（螺絲、螺帽、鉚釘等金屬製品）批發,462099,其他化學原材料及其製品批發,464312,化工機械批發,464211,電子器材、電子設備批發
"新北市新莊區福興里五權一路７號７樓之２",12776956,,"神蹟科技有限公司",1000000,0900608,有限公司,Y,469999,其他未分類專賣批發,,,,,,
"新北市新莊區福興里五權一路７號７樓之２",27475423,,"天空原型設計有限公司",3000000,0931025,有限公司,Y,251211,塑膠成型模具製造,,,,,,
"新北市新莊區福興里五權一路７號７樓之４",54832240,,"信德佳國際有限公司",3000000,1040414,有限公司,Y,462012,塑膠原料批發,,,,,,
"新北市新莊區福興里五權一路７號７樓之５",25089446,,"卡德爾股份有限公司",2000000,0980208,股份有限公司,Y,092099,其他非酒精飲料製造,454700,非酒精飲料批發,464999,未分類其他機械器具批發,451099,其他商品批發經紀
"新北市新莊區福興里五權一路７號７樓之６",28623871,,"信鴻屋有限公司",5000000,0960328,有限公司,Y,681112,不動產租賃,,,,,,
"新北市新莊區福興里五權一路７號７樓之９",97467426,,"樂廷電機股份有限公司",5000000,0860610,股份有限公司,Y,262000,被動電子元件製造,485111,切花、盆栽零售,,,,
"新北市新莊區福興里五權一路７號８樓之１０",23586638,,"上華亘有限公司",10000000,0800626,有限公司,Y,456211,國產家用家具批發,,,,,,
"新北市新莊區福興里五權一路７號８樓之１１",80256616,,"依柏實業有限公司",10000000,0911002,有限公司,Y,462099,其他化學原材料及其製品批發,,,,,,
"新北市新莊區福興里五權一路７號８樓之３",42703045,,"精典有限公司",1000000,1050111,有限公司,Y,461515,建材五金（螺絲、螺帽、鉚釘等金屬製品）批發,,,,,,
